"replication";"method";"niter";"exetime";"loglik"
1;"BL";792;12,4299999999348;-1,7810716169879
1;"PG";358;5,86000000010245;-1,77125931774173
1;"PQ";175;4,12999999988824;-1,7684742843488
1;"NR";11;0,790000000037253;-1,76722332265116
2;"BL";792;12,1100000001024;-1,7810716169879
2;"PG";358;5,59000000008382;-1,77125931774173
2;"PQ";175;3,87999999988824;-1,7684742843488
2;"NR";11;1;-1,76722332265116
3;"BL";792;12,4699999999721;-1,7810716169879
3;"PG";358;5,6500000001397;-1,77125931774173
3;"PQ";175;3,91999999992549;-1,7684742843488
3;"NR";11;0,790000000037253;-1,76722332265116
4;"BL";792;12,2800000000279;-1,7810716169879
4;"PG";358;5,60000000009313;-1,77125931774173
4;"PQ";175;3,89999999990687;-1,7684742843488
4;"NR";11;0,790000000037253;-1,76722332265116
5;"BL";792;12,25;-1,7810716169879
5;"PG";358;5,58000000007451;-1,77125931774173
5;"PQ";175;3,86000000010245;-1,7684742843488
5;"NR";11;0,799999999813735;-1,76722332265116
6;"BL";792;12,1099999998696;-1,7810716169879
6;"PG";358;5,79000000003725;-1,77125931774173
6;"PQ";175;3,88999999989755;-1,7684742843488
6;"NR";11;0,790000000037253;-1,76722332265116
7;"BL";792;12,1399999998976;-1,7810716169879
7;"PG";358;5,58000000007451;-1,77125931774173
7;"PQ";175;3,88999999989755;-1,7684742843488
7;"NR";11;0,78000000002794;-1,76722332265116
8;"BL";792;12,1899999999441;-1,7810716169879
8;"PG";358;5,54000000003725;-1,77125931774173
8;"PQ";175;3,86000000010245;-1,7684742843488
8;"NR";11;0,800000000046566;-1,76722332265116
9;"BL";792;12,1699999999255;-1,7810716169879
9;"PG";358;5,76000000000931;-1,77125931774173
9;"PQ";175;3,89000000013039;-1,7684742843488
9;"NR";11;0,789999999804422;-1,76722332265116
10;"BL";792;12,3499999998603;-1,7810716169879
10;"PG";358;5,6500000001397;-1,77125931774173
10;"PQ";175;4,05000000004657;-1,7684742843488
10;"NR";11;0,909999999916181;-1,76722332265116
