"replication";"method";"niter";"exetime";"loglik"
1;"BL";1349;1,5;-0,0403548471480644
1;"PG";683;0,629999999888241;-0,0355465126389618
1;"PQ";400;0,46999999997206;-0,0333047178001937
1;"NR";13;0,0300000000279397;-0,031743502288556
2;"BL";1349;1,45000000018626;-0,0403548471480644
2;"PG";683;0,579999999841675;-0,0355465126389618
2;"PQ";400;0,46999999997206;-0,0333047178001937
2;"NR";13;0,0300000000279397;-0,031743502288556
3;"BL";1349;1,43000000016764;-0,0403548471480644
3;"PG";683;0,599999999860302;-0,0355465126389618
3;"PQ";400;0,46999999997206;-0,0333047178001937
3;"NR";13;0,0100000000093132;-0,031743502288556
4;"BL";1349;1,61999999987893;-0,0403548471480644
4;"PG";683;0,580000000074506;-0,0355465126389618
4;"PQ";400;0,46999999997206;-0,0333047178001937
4;"NR";13;0,0300000000279397;-0,031743502288556
5;"BL";1349;1,44999999995343;-0,0403548471480644
5;"PG";683;0,580000000074506;-0,0355465126389618
5;"PQ";400;0,46999999997206;-0,0333047178001937
5;"NR";13;0,0300000000279397;-0,031743502288556
6;"BL";1349;1,42000000015832;-0,0403548471480644
6;"PG";683;0,579999999841675;-0,0355465126389618
6;"PQ";400;0,449999999953434;-0,0333047178001937
6;"NR";13;0,0300000000279397;-0,031743502288556
7;"BL";1349;1,41999999992549;-0,0403548471480644
7;"PG";683;0,599999999860302;-0,0355465126389618
7;"PQ";400;0,460000000195578;-0,0333047178001937
7;"NR";13;0,0399999998044223;-0,031743502288556
8;"BL";1349;1,43999999994412;-0,0403548471480644
8;"PG";683;0,590000000083819;-0,0355465126389618
8;"PQ";400;0,46999999997206;-0,0333047178001937
8;"NR";13;0,0200000000186265;-0,031743502288556
9;"BL";1349;1,59000000008382;-0,0403548471480644
9;"PG";683;0,579999999841675;-0,0355465126389618
9;"PQ";400;0,46999999997206;-0,0333047178001937
9;"NR";13;0,0100000000093132;-0,031743502288556
10;"BL";1349;1,43999999994412;-0,0403548471480644
10;"PG";683;0,579999999841675;-0,0355465126389618
10;"PQ";400;0,450000000186265;-0,0333047178001937
10;"NR";13;0,0100000000093132;-0,031743502288556
