"method";"lambda";"niter";"exetime";"loglik"
"BL";1e-06;310;19,859999999986;-173,438737529477
"BL";1,77827941003892e-06;262;17,2000000000698;-201,995438929116
"BL";3,16227766016838e-06;203;13,1899999999441;-228,599259996674
"BL";5,62341325190349e-06;175;11,4200000000419;-252,430029347335
"BL";1e-05;170;10,7399999999907;-273,288333791604
"BL";1,77827941003892e-05;161;10,1699999999255;-291,367131777333
"BL";3,16227766016838e-05;125;7,97000000008848;-307,029178564956
"BL";5,62341325190349e-05;90;5,77999999991152;-320,679165163474
"BL";1e-04;63;3,97000000008848;-332,730518313666
"BL";0,000177827941003892;45;2,75;-343,526464495805
"BL";0,000316227766016838;26;1,78999999992084;-353,337007892462
"BL";0,000562341325190349;22;1,21000000007916;-362,309151876137
"BL";0,001;13;0,899999999906868;-370,594610692088
"BL";0,00177827941003892;12;0,880000000004657;-378,318574059102
"BL";0,00316227766016838;9;0,720000000088476;-385,225579915361
"BL";0,00562341325190349;7;0,399999999906868;-390,592010351446
"BL";0,01;6;0,380000000004657;-393,743766294994
"BL";0,0177827941003892;5;0,400000000023283;-394,669104121053
"BL";0,0316227766016838;2;0,410000000032596;-394,781536845624
"BL";0,0562341325190349;2;0,14000000001397;-394,781536845641
"BL";0,1;2;0,0899999999674037;-394,781536845679
"BL";0,177827941003892;2;0,10999999998603;-394,781536845771
"BL";0,316227766016838;2;0,0800000000745058;-394,781536846013
"BL";0,562341325190349;2;0,0799999999580905;-394,781536846455
"BL";1;2;0,0899999999674037;-394,781536847178
"BL";1,77827941003892;2;0,0800000000745058;-394,781536851348
"BL";3,16227766016838;2;0,0799999999580905;-394,781537002787
"BL";5,62341325190349;2;0,160000000032596;-394,78153836665
"BL";10;7;0,809999999939464;-394,78155107666
"PG";1e-06;140;8,96999999997206;-173,409447258696
"PG";1,77827941003892e-06;143;9,35999999998603;-201,968294178065
"PG";3,16227766016838e-06;130;8,08000000007451;-228,57457254474
"PG";5,62341325190349e-06;136;8,76000000000931;-252,410109846884
"PG";1e-05;123;7,77000000001863;-273,275487149431
"PG";1,77827941003892e-05;93;5,94999999995343;-291,360800430628
"PG";3,16227766016838e-05;64;3,97999999998137;-307,026456902818
"PG";5,62341325190349e-05;48;3,07999999995809;-320,6778382074
"PG";1e-04;34;2,02000000001863;-332,729968726515
"PG";0,000177827941003892;23;1,45000000006985;-343,526398970796
"PG";0,000316227766016838;16;1,27999999991152;-353,336522301276
"PG";0,000562341325190349;13;0,880000000004657;-362,309295432235
"PG";0,001;12;0,860000000102445;-370,59375688975
"PG";0,00177827941003892;10;0,539999999920838;-378,318545319389
"PG";0,00316227766016838;8;0,60999999998603;-385,225662182174
"PG";0,00562341325190349;6;0,550000000046566;-390,592029047614
"PG";0,01;6;0,369999999995343;-393,743779916016
"PG";0,0177827941003892;5;0,35999999998603;-394,66944191129
"PG";0,0316227766016838;2;0,190000000060536;-394,781536845629
"PG";0,0562341325190349;2;0,130000000004657;-394,78153684566
"PG";0,1;2;0,10999999998603;-394,781536845698
"PG";0,177827941003892;2;0,0899999999674037;-394,781536845803
"PG";0,316227766016838;2;0,0799999999580905;-394,78153684693
"PG";0,562341325190349;2;0,090000000083819;-394,781536851458
"PG";1;2;0,10999999998603;-394,78153690361
"PG";1,77827941003892;2;0,0799999999580905;-394,781537499083
"PG";3,16227766016838;2;0,28000000002794;-394,781539166594
"PG";5,62341325190349;2;0,0799999999580905;-394,781549735783
"PG";10;6;0,339999999967404;-394,781562655478
"PQ";1e-06;96;6,40000000002328;-173,397361891291
"PQ";1,77827941003892e-06;96;6,10999999998603;-201,957520980599
"PQ";3,16227766016838e-06;116;7,30999999993946;-228,564978867793
"PQ";5,62341325190349e-06;99;6,02000000001863;-252,404720711782
"PQ";1e-05;75;4,53000000002794;-273,273385566067
"PQ";1,77827941003892e-05;57;3,6600000000326;-291,359789957445
"PQ";3,16227766016838e-05;42;2,7599999998929;-307,025817787803
"PQ";5,62341325190349e-05;30;1,6600000000326;-320,677775722114
"PQ";1e-04;21;1,46999999997206;-332,73004001457
"PQ";0,000177827941003892;17;0,92000000004191;-343,526286721091
"PQ";0,000316227766016838;15;0,949999999953434;-353,336155602748
"PQ";0,000562341325190349;13;0,880000000004657;-362,309032272732
"PQ";0,001;10;0,540000000037253;-370,593877347229
"PQ";0,00177827941003892;10;0,709999999962747;-378,318565807915
"PQ";0,00316227766016838;7;0,400000000023283;-385,225542562062
"PQ";0,00562341325190349;8;0,440000000060536;-390,591864416068
"PQ";0,01;7;0,559999999939464;-393,743646946593
"PQ";0,0177827941003892;7;0,489999999990687;-394,668987470186
"PQ";0,0316227766016838;2;0,17000000004191;-394,781536845638
"PQ";0,0562341325190349;2;0,119999999995343;-394,78153684569
"PQ";0,1;2;0,10999999998603;-394,781536845801
"PQ";0,177827941003892;2;0,0999999999767169;-394,781536846126
"PQ";0,316227766016838;2;0,090000000083819;-394,781536846731
"PQ";0,562341325190349;2;0,0799999999580905;-394,78153685017
"PQ";1;2;0,0799999999580905;-394,781536853996
"PQ";1,77827941003892;2;0,260000000009313;-394,78153688653
"PQ";3,16227766016838;2;0,0800000000745058;-394,781537200264
"PQ";5,62341325190349;2;0,0799999999580905;-394,78153890156
"PQ";10;6;0,35999999998603;-394,781550426676
"NR";1e-06;96;6,5;-173,39371488779
"NR";1,77827941003892e-06;92;6,25;-201,954514110494
"NR";3,16227766016838e-06;69;4,64000000001397;-228,565019227604
"NR";5,62341325190349e-06;54;3,27000000001863;-252,40510453032
"NR";1e-05;41;2,70999999996275;-273,27373942619
"NR";1,77827941003892e-05;23;1,27000000001863;-291,36102209353
"NR";3,16227766016838e-05;18;1,1600000000326;-307,026693153044
"NR";5,62341325190349e-05;16;0,839999999967404;-320,678180897179
"NR";1e-04;13;1,07999999995809;-332,729946369403
"NR";0,000177827941003892;11;0,60999999998603;-343,526161446492
"NR";0,000316227766016838;10;0,5;-353,336056808078
"NR";0,000562341325190349;9;0,850000000093132;-362,308996611074
"NR";0,001;9;0,5;-370,593824532076
"NR";0,00177827941003892;4;0,179999999934807;-378,319140363768
