"method";"fold";"lambda";"loglik";"niter";"exetime"
"BL";1;1e-06;-373,873469957077;165;0,380000000121072
"BL";1;1,77827941003892e-06;-352,74443987661;177;0,339999999850988
"BL";1;3,16227766016838e-06;-338,366184011262;174;0,390000000130385
"BL";1;5,62341325190349e-06;-329,693502064458;137;0,310000000055879
"BL";1;1e-05;-325,949194000627;100;0,319999999832362
"BL";1;1,77827941003892e-05;-326,364188349178;71;0,170000000158325
"BL";1;3,16227766016838e-05;-329,944708809042;51;0,139999999897555
"BL";1;5,62341325190349e-05;-335,50064715557;37;0,120000000111759
"BL";1;1e-04;-341,941476678164;27;0,159999999916181
"BL";1;0,000177827941003892;-348,561378823786;20;0,090000000083819
"BL";1;0,000316227766016838;-355,070574448178;15;0,0999999998603016
"BL";1;0,000562341325190349;-361,40093143297;11;0,0700000000651926
"BL";1;0,001;-367,463815366824;9;0,0800000000745058
"BL";1;0,00177827941003892;-373,010302071487;7;0,0699999998323619
"BL";1;0,00316227766016838;-377,682302377292;6;0,0700000000651926
"BL";1;0,00562341325190349;-381,207627960329;5;0,0700000000651926
"BL";1;0,01;-383,574009938169;5;0,0700000000651926
"BL";1;0,0177827941003892;-384,963824123061;5;0,0699999998323619
"BL";1;0,0316227766016838;-385,626014445676;5;0,0700000000651926
"BL";1;0,0562341325190349;-385,770154597385;5;0,0700000000651926
"BL";1;0,1;-385,56228530533;5;0,0799999998416752
"BL";1;0,177827941003892;-385,161228471453;4;0,0600000000558794
"BL";1;0,316227766016838;-384,724910472367;4;0,0600000000558794
"BL";1;0,562341325190349;-384,357373686191;4;0,0800000000745058
"BL";1;1;-384,095024184438;4;0,0599999998230487
"BL";1;1,77827941003892;-383,926090358111;3;0,0600000000558794
"BL";1;3,16227766016838;-383,823708695195;3;0,0700000000651926
"BL";1;5,62341325190349;-383,763739586525;3;0,0600000000558794
"BL";1;10;-383,730133672327;7;0,0799999998416752
"BL";2;1e-06;-480,423537342999;191;0,360000000102445
"BL";2;1,77827941003892e-06;-446,573924772654;204;0,46999999997206
"BL";2;3,16227766016838e-06;-421,039135645241;200;0,399999999906868
"BL";2;5,62341325190349e-06;-401,531428244532;158;0,350000000093132
"BL";2;1e-05;-386,524610194019;114;0,290000000037253
"BL";2;1,77827941003892e-05;-375,100134429669;80;0,189999999944121
"BL";2;3,16227766016838e-05;-366,677620335288;55;0,159999999916181
"BL";2;5,62341325190349e-05;-360,794814813515;38;0,120000000111759
"BL";2;1e-04;-356,965544404318;27;0,0999999998603016
"BL";2;0,000177827941003892;-354,714279228445;19;0,170000000158325
"BL";2;0,000316227766016838;-353,685300647034;14;0,0799999998416752
"BL";2;0,000562341325190349;-353,683504791255;10;0,090000000083819
"BL";2;0,001;-354,561813321577;8;0,0800000000745058
"BL";2;0,00177827941003892;-356,092327619583;6;0,0599999998230487
"BL";2;0,00316227766016838;-357,844958973531;5;0,0800000000745058
"BL";2;0,00562341325190349;-359,37985630282;5;0,0600000000558794
"BL";2;0,01;-360,474116717905;5;0,0800000000745058
"BL";2;0,0177827941003892;-361,147078778833;4;0,0599999998230487
"BL";2;0,0316227766016838;-361,537609794574;4;0,0800000000745058
"BL";2;0,0562341325190349;-361,808066049942;4;0,0600000000558794
"BL";2;0,1;-362,058604559973;4;0,0600000000558794
"BL";2;0,177827941003892;-362,322288894413;4;0,0799999998416752
"BL";2;0,316227766016838;-362,584460291862;4;0,0600000000558794
"BL";2;0,562341325190349;-362,814644307023;3;0,0700000000651926
"BL";2;1;-362,989117578006;3;0,0599999998230487
"BL";2;1,77827941003892;-363,109117964719;3;0,0800000000745058
"BL";2;3,16227766016838;-363,185494644178;3;0,0600000000558794
"BL";2;5,62341325190349;-363,232126845434;3;0,0600000000558794
"BL";2;10;-363,267393598092;6;0,0799999998416752
"BL";3;1e-06;-471,473931344849;166;0,379999999888241
"BL";3;1,77827941003892e-06;-443,354044898893;132;0,28000000002794
"BL";3;3,16227766016838e-06;-425,097086428112;124;0,28000000002794
"BL";3;5,62341325190349e-06;-414,019567709301;110;0,25
"BL";3;1e-05;-407,942218072824;88;0,199999999953434
"BL";3;1,77827941003892e-05;-405,318765003514;66;0,239999999990687
"BL";3;3,16227766016838e-05;-405,090608564886;48;0,140000000130385
"BL";3;5,62341325190349e-05;-406,443451055533;36;0,119999999878928
"BL";3;1e-04;-408,672732858134;26;0,130000000121072
"BL";3;0,000177827941003892;-411,206616866798;20;0,109999999869615
