"method";"lambda";"niter";"exetime";"loglik"
"BL";1e-06;171;0,399999999906868;-246,594306493677
"BL";1,77827941003892e-06;169;0,409999999916181;-267,734318431734
"BL";3,16227766016838e-06;165;0,340000000083819;-285,966032506237
"BL";5,62341325190349e-06;132;0,330000000074506;-301,610153284867
"BL";1e-05;97;0,239999999990687;-315,058669421791
"BL";1,77827941003892e-05;68;0,179999999934807;-326,717705566447
"BL";3,16227766016838e-05;49;0,239999999990687;-336,943154397586
"BL";5,62341325190349e-05;35;0,139999999897555;-345,991151736288
"BL";1e-04;26;0,110000000102445;-354,034322066094
"BL";0,000177827941003892;19;0,090000000083819;-361,219088394074
"BL";0,000316227766016838;14;0,0999999998603016;-367,681243584118
"BL";0,000562341325190349;11;0,090000000083819;-373,503068364472
"BL";0,001;8;0,0800000000745058;-378,662329918241
"BL";0,00177827941003892;7;0,0799999998416752;-383,043342438545
"BL";0,00316227766016838;6;0,0700000000651926;-386,533203685318
"BL";0,00562341325190349;5;0,0700000000651926;-389,126800825157
"BL";0,01;5;0,0799999998416752;-390,945459526026
"BL";0,0177827941003892;5;0,0700000000651926;-392,174732610276
"BL";0,0316227766016838;4;0,0800000000745058;-392,995225034637
"BL";0,0562341325190349;4;0,0799999998416752;-393,548345642077
"BL";0,1;4;0,0800000000745058;-393,931854633513
"BL";0,177827941003892;4;0,0800000000745058;-394,206417487321
"BL";0,316227766016838;4;0,0700000000651926;-394,40488235606
"BL";0,562341325190349;4;0,0999999998603016;-394,544460028635
"BL";1;3;0,0800000000745058;-394,637673224133
"BL";1,77827941003892;3;0,0700000000651926;-394,696653558257
"BL";3,16227766016838;3;0,0699999998323619;-394,732399927335
"BL";5,62341325190349;3;0,0700000000651926;-394,753431973793
"BL";10;7;0,0800000000745058;-394,765577626298
"PG";1e-06;131;1,51000000000931;-246,568517775119
"PG";1,77827941003892e-06;112;1,27000000001863;-267,717847422566
"PG";3,16227766016838e-06;86;1,02000000001863;-285,957674032296
"PG";5,62341325190349e-06;62;0,839999999850988;-301,606093176126
"PG";1e-05;45;0,53000000002794;-315,056655701675
"PG";1,77827941003892e-05;32;0,380000000121072;-326,7166713384
"PG";3,16227766016838e-05;24;0,310000000055879;-336,942637243848
"PG";5,62341325190349e-05;19;0,229999999981374;-345,9908276622
"PG";1e-04;15;0,209999999962747;-354,034159074386
"PG";0,000177827941003892;12;0,169999999925494;-361,218991452045
"PG";0,000316227766016838;10;0,21999999997206;-367,68118358264
"PG";0,000562341325190349;8;0,120000000111759;-373,503053567134
"PG";0,001;7;0,129999999888241;-378,662314109299
"PG";0,00177827941003892;6;0,110000000102445;-383,043340489213
"PG";0,00316227766016838;5;0,0899999998509884;-386,533203007852
"PG";0,00562341325190349;4;0,0800000000745058;-389,126801214837
"PG";0,01;4;0,090000000083819;-390,94545989202
"PG";0,0177827941003892;4;0,0799999998416752;-392,174732919658
"PG";0,0316227766016838;4;0,090000000083819;-392,995220458237
"PG";0,0562341325190349;4;0,0800000000745058;-393,548343078036
"PG";0,1;4;0,0999999998603016;-393,93185341054
"PG";0,177827941003892;4;0,0700000000651926;-394,206417105678
"PG";0,316227766016838;4;0,100000000093132;-394,404882287546
"PG";0,562341325190349;3;0,0799999998416752;-394,544460177278
"PG";1;3;0,0600000000558794;-394,637673142631
"PG";1,77827941003892;3;0,090000000083819;-394,696653550567
"PG";3,16227766016838;3;0,0600000000558794;-394,732399926661
"PG";5,62341325190349;3;0,0799999998416752;-394,753431971747
"PG";10;6;0,130000000121072;-394,765577653708
"PQ";1e-06;62;0,730000000214204;-246,562726907286
"PQ";1,77827941003892e-06;53;0,609999999869615;-267,714567243303
"PQ";3,16227766016838e-06;42;0,520000000018626;-285,955896474944
"PQ";5,62341325190349e-06;32;0,389999999897555;-301,605137244605
"PQ";1e-05;24;0,360000000102445;-315,056190061048
"PQ";1,77827941003892e-05;19;0,25;-326,716360761765
"PQ";3,16227766016838e-05;15;0,229999999981374;-336,942474474889
"PQ";5,62341325190349e-05;12;0,179999999934807;-345,990772864759
"PQ";1e-04;10;0,150000000139698;-354,034135192479
"PQ";0,000177827941003892;9;0,139999999897555;-361,218967245864
"PQ";0,000316227766016838;8;0,130000000121072;-367,681173625618
"PQ";0,000562341325190349;7;0,109999999869615;-373,503046605891
"PQ";0,001;6;0,110000000102445;-378,662313322735
"PQ";0,00177827941003892;5;0,0999999998603016;-383,043340835266
"PQ";0,00316227766016838;5;0,100000000093132;-386,533202286026
"PQ";0,00562341325190349;4;0,100000000093132;-389,126798088651
"PQ";0,01;4;0,0899999998509884;-390,945458232843
"PQ";0,0177827941003892;4;0,100000000093132;-392,174731995462
"PQ";0,0316227766016838;4;0,149999999906868;-392,995219959974
"PQ";0,0562341325190349;4;0,100000000093132;-393,548342808907
"PQ";0,1;4;0,0700000000651926;-393,931853288499
"PQ";0,177827941003892;4;0,0999999998603016;-394,206417069671
"PQ";0,316227766016838;4;0,0800000000745058;-394,404882281201
"PQ";0,562341325190349;3;0,0700000000651926;-394,54446006861
"PQ";1;3;0,0799999998416752;-394,637673129488
"PQ";1,77827941003892;3;0,0800000000745058;-394,696653549344
"PQ";3,16227766016838;3;0,0800000000745058;-394,732399926556
"PQ";5,62341325190349;3;0,0599999998230487;-394,753431971107
"PQ";10;5;0,110000000102445;-394,765577199341
"NR";1e-06;4;0,0799999998416752;-246,561288518683
"NR";1,77827941003892e-06;4;0,090000000083819;-267,713538072563
"NR";3,16227766016838e-06;4;0,100000000093132;-285,95519096509
"NR";5,62341325190349e-06;4;0,0799999998416752;-301,604685862062
"NR";1e-05;4;0,090000000083819;-315,055896972811
"NR";1,77827941003892e-05;4;0,090000000083819;-326,716200757448
"NR";3,16227766016838e-05;4;0,0999999998603016;-336,942369832872
"NR";5,62341325190349e-05;4;0,140000000130385;-345,990693980326
"NR";1e-04;4;0,0899999998509884;-354,034081617206
"NR";0,000177827941003892;4;0,100000000093132;-361,218947692828
"NR";0,000316227766016838;4;0,0899999998509884;-367,681166745219
"NR";0,000562341325190349;4;0,090000000083819;-373,503044115311
"NR";0,001;4;0,100000000093132;-378,662312198876
"NR";0,00177827941003892;4;0,0899999998509884;-383,043339877982
"NR";0,00316227766016838;4;0,0800000000745058;-386,53320217767
"NR";0,00562341325190349;4;0,110000000102445;-389,126797214999
"NR";0,01;3;0,0899999998509884;-390,945457789627
"NR";0,0177827941003892;3;0,0800000000745058;-392,174731757363
"NR";0,0316227766016838;3;0,0800000000745058;-392,995219835201
"NR";0,0562341325190349;3;0,0799999998416752;-393,5483427435
