"replication";"method";"niter";"exetime";"loglik"
1;"BL";70;0,0100000000020373;-69,4184621092055
1;"PG";32;0,129999999997381;-69,4183684864058
1;"PQ";20;0;-69,4183503795952
1;"NR";7;0,0100000000020373;-69,418334546506
2;"BL";70;0,0199999999967986;-69,4184621092055
2;"PG";32;0,0299999999988358;-69,4183684864058
2;"PQ";20;0,0100000000020373;-69,4183503795952
2;"NR";7;0,0199999999967986;-69,418334546506
3;"BL";70;0,0199999999967986;-69,4184621092055
3;"PG";32;0,0299999999988358;-69,4183684864058
3;"PQ";20;0,0100000000020373;-69,4183503795952
3;"NR";7;0;-69,418334546506
4;"BL";70;0,0199999999967986;-69,4184621092055
4;"PG";32;0,0100000000020373;-69,4183684864058
4;"PQ";20;0,0299999999988358;-69,4183503795952
4;"NR";7;0;-69,418334546506
5;"BL";70;0,0100000000020373;-69,4184621092055
5;"PG";32;0,0299999999988358;-69,4183684864058
5;"PQ";20;0,0199999999967986;-69,4183503795952
5;"NR";7;0;-69,418334546506
6;"BL";70;0,0100000000020373;-69,4184621092055
6;"PG";32;0,0199999999967986;-69,4183684864058
6;"PQ";20;0,0100000000020373;-69,4183503795952
6;"NR";7;0,0199999999967986;-69,418334546506
7;"BL";70;0,0199999999967986;-69,4184621092055
7;"PG";32;0,0100000000020373;-69,4183684864058
7;"PQ";20;0,0299999999988358;-69,4183503795952
7;"NR";7;0;-69,418334546506
8;"BL";70;0,0199999999967986;-69,4184621092055
8;"PG";32;0,0299999999988358;-69,4183684864058
8;"PQ";20;0,0100000000020373;-69,4183503795952
8;"NR";7;0,0199999999967986;-69,418334546506
9;"BL";70;0;-69,4184621092055
9;"PG";32;0,0199999999967986;-69,4183684864058
9;"PQ";20;0,0100000000020373;-69,4183503795952
9;"NR";7;0,0199999999967986;-69,418334546506
10;"BL";70;0,0199999999967986;-69,4184621092055
10;"PG";32;0,0100000000020373;-69,4183684864058
10;"PQ";20;0,0299999999988358;-69,4183503795952
10;"NR";7;0;-69,418334546506
