"replication";"method";"niter";"exetime";"loglik"
1;"BL";395;0,110000000000582;-0,625570115012596
1;"PG";172;0,129999999997381;-0,62511178200338
1;"PQ";88;0,0299999999988358;-0,624993205021105
1;"NR";10;0;-0,624930726267263
2;"BL";395;0,129999999997381;-0,625570115012596
2;"PG";172;0,0400000000008731;-0,62511178200338
2;"PQ";88;0,0500000000029104;-0,624993205021105
2;"NR";10;0;-0,624930726267263
3;"BL";395;0,110000000000582;-0,625570115012596
3;"PG";172;0,0400000000008731;-0,62511178200338
3;"PQ";88;0,0400000000008731;-0,624993205021105
3;"NR";10;0,0100000000020373;-0,624930726267263
4;"BL";395;0,0999999999985448;-0,625570115012596
4;"PG";172;0,0400000000008731;-0,62511178200338
4;"PQ";88;0,0500000000029104;-0,624993205021105
4;"NR";10;0;-0,624930726267263
5;"BL";395;0,0999999999985448;-0,625570115012596
5;"PG";172;0,0600000000049477;-0,62511178200338
5;"PQ";88;0,0299999999988358;-0,624993205021105
5;"NR";10;0;-0,624930726267263
6;"BL";395;0,0999999999985448;-0,625570115012596
6;"PG";172;0,0500000000029104;-0,62511178200338
6;"PQ";88;0,0499999999956344;-0,624993205021105
6;"NR";10;0;-0,624930726267263
7;"BL";395;0,0900000000037835;-0,625570115012596
7;"PG";172;0,0499999999956344;-0,62511178200338
7;"PQ";88;0,0400000000008731;-0,624993205021105
7;"NR";10;0;-0,624930726267263
8;"BL";395;0,0900000000037835;-0,625570115012596
8;"PG";172;0,0599999999976717;-0,62511178200338
8;"PQ";88;0,0400000000008731;-0,624993205021105
8;"NR";10;0;-0,624930726267263
9;"BL";395;0,110000000000582;-0,625570115012596
9;"PG";172;0,0600000000049477;-0,62511178200338
9;"PQ";88;0,0299999999988358;-0,624993205021105
9;"NR";10;0,0199999999967986;-0,624930726267263
10;"BL";395;0,110000000000582;-0,625570115012596
10;"PG";172;0,069999999999709;-0,62511178200338
10;"PQ";88;0,0299999999988358;-0,624993205021105
10;"NR";10;0;-0,624930726267263
